,0,1,2,3
"[165.0, 245.0, 195.0, 275.0]",1.6098792532900057,-3.528397758063343,-3.116770454190066,-3.0477316670896264
"[245.0, 205.0, 275.0, 235.0]",12.881371234056093,199.97257306896466,8.091342507836496,9.441178348208563
"[365.0, 165.0, 395.0, 195.0]",-2.8503744728502656,-2.8751516548055327,-2.9748470058063736,-3.065123130156883
"[365.0, 205.0, 395.0, 235.0]",-1.5531770856887257,-1.5654317072609203,-1.776091054098023,-1.4898995124277126
"[285.0, 205.0, 315.0, 235.0]",-1.1658764585385581,-2.061383077108214,-0.24020012161998577,59.884554910668015
"[205.0, 45.0, 235.0, 75.0]",-20.537652552056862,-20.241736255484934,-12.993607530242068,-16.325586996100085
"[245.0, 45.0, 275.0, 75.0]",-10.187320588025123,9.526649560243845,-10.32866132617771,-9.983444692784978
"[325.0, 45.0, 355.0, 75.0]",-8.644269561068265,-9.682950963472441,-8.16020978463518,-8.181486950008956
"[365.0, 45.0, 395.0, 75.0]",-7.339485447813772,-7.334210292813541,-7.750333996826956,-7.3576054500037085
"[365.0, 85.0, 395.0, 115.0]",-5.799865500795521,-5.758490583913637,-5.880757498702557,-6.816472645559877
"[285.0, 5.0, 315.0, 35.0]",-10.390252520521171,-10.646576420723225,-10.424743568079496,-10.360758296021169
"[245.0, 5.0, 275.0, 35.0]",-13.076781950312823,-10.98283613219411,-12.620470482252125,-12.46232940092958
"[325.0, 5.0, 355.0, 35.0]",-11.545134003680149,-9.331927665822471,-8.907475591026317,-9.299422376368684
"[365.0, 5.0, 395.0, 35.0]",-8.11265720395798,-7.745145007431917,-8.11265720395798,-8.392060228599572
"[365.0, 125.0, 395.0, 155.0]",-4.118605141510836,-4.1772356599317195,-4.798770371610759,-4.171912621544778
"[205.0, 365.0, 235.0, 395.0]",-3.037647323677418,-2.9361157631998434,-2.8495393143367487,-2.797097911816459
"[325.0, 365.0, 355.0, 395.0]",-1.2324684038229607,-1.7864416916577395,-0.9635961683419713,-0.914214727175964
"[365.0, 365.0, 395.0, 395.0]",-0.9658639225778151,-1.7999690799160817,-1.2062493873355145,-0.9273059149499618
